Cantidad;Proveedor;Total;Temporada;Fecha;Color;Talle;Familia N1;Familia N2;Familia N3;Categorias;Art.Contenedor;Artículo;Marca
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);13.955,50;VERANO MODA;02/01/2023;DORADO;40;CALZADO;SANDALIAS;SANDALIAS TACO MEDIO;;AC-5522207 - 6210/655 VIZZANO SANDALIA 2019;6210/655 VIZZANO SANDALIA 2019 DORADO 40;VIZZANO
1,00;;1.509,99;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;1.139,98;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;1.459,45;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;ENVIO WEB VTEX 2021;VARIOS
1,00;GENERAC TECHNOLOGY MANAGAMENT SA;7.321,04;VERANO;02/01/2023;VARIOS;UNICO;JUEGOS Y JUGUETES;INFLABLES;COLCHONETAS INFLABLES;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023; - ;3917/43028 BESTWAY COLCHONETA SILLON 2021 VARIOS UNICO;BESTWAY
1,00;GENERAC TECHNOLOGY MANAGAMENT SA;3.411,00;CLASICO;02/01/2023;VARIOS;UNICO;JUEGOS Y JUGUETES;MUÑECAS Y MUÑECOS;MUÑECA;; - ;B149 POPPI MUÑECA PEDIATRA 2021 VARIOS UNICO;POPPI
1,00;RIMON CASSIS E HIJOS S.A.;5.837,00;VERANO MODA;02/01/2023;NEGRO/BEIGE;38;CALZADO;OJOTAS Y CHINELAS;OJOTAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644066 - 61667 AZALEIA OJOTA MODA 2022;61667 AZALEIA OJOTA MODA 2022 NEGRO/BEIGE 38;AZALEIA
1,00;IMPORTADORA BS AS S.R.L.(GUMMI);16.186,42;CLASICO;02/01/2023;GRIS/NARANJA;42;CALZADO;ZAPATILLAS;DEPORTIVAS;6-12 SIN INTERES 6-12 SIN INTERES;641094 - ZAP SYSTEM GUMMI ZAPATILLA DEP 2021;ZAP SYSTEM GUMMI ZAPATILLA DEP 2021 GRIS/NARANJA 42;GUMMI
1,00;RIMON CASSIS E HIJOS S.A.;10.439,55;VERANO MODA;02/01/2023;NUDE;40;CALZADO;SANDALIAS;SANDALIAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644065 - 61723 AZALEIA SANDALIA MODA 2022;61723 AZALEIA SANDALIA MODA 2022 NUDE 40;AZALEIA
1,00;INTERNATIONAL BRANDS S.R.L.;8.549,10;CLASICO;02/01/2023;BLANCO/NEGRO;45;CALZADO;OJOTAS Y CHINELAS;CHINELA;;644340 - MELBOURNE OLYMPIKUS CHINELA 2022;MELBOURNE OLYMPIKUS CHINELA 2022 BLANCO/NEGRO 45;OLYMPIKUS
1,00;RIMON CASSIS E HIJOS S.A.;2.615,00;VERANO;02/01/2023;MARRON;38;CALZADO;OJOTAS Y CHINELAS;OJOTAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;641528 - 17987 GRENDHA OJOTA MODA 2021;17987 GRENDHA OJOTA MODA 2021 MARRON 38;GRENDHA
1,00;DESCANSAR S.A.;16.790,00;CLASICO;02/01/2023;VARIOS;UNICO;OUTDOOR Y TIEMPO LIBRE;CAMPING;REPOSERAS;;644156 - 80001 DESCANSAR REPOSERA PLEGABLE 5 POSICIONES 2022;80001 DESCANSAR REPOSERA PLEGABLE 5 POSICIONES 2022 VARIOS UNICO;DESCANSAR
1,00;PIZZONESI S.R.L.;11.106,44;CLASICO;02/01/2023;JEANS;43;CALZADO;ZAPATO;ZAPATO HOMBRES;;642070 - 7507 PIZZONNI ZAPATO LONA 2021;7507 PIZZONNI ZAPATO LONA 2021 JEANS 43;PIZZONNI
1,00;GLOBAL BRANDS S.A.;8.577,50;VERANO;02/01/2023;NEGRO;38;CALZADO;SANDALIAS;SANDALIAS PLAYERAS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643992 - 61690 RIDER SANDALIA PLAY 2022;61690 RIDER SANDALIA PLAY 2022 NEGRO 38;RIDER
